CSB_REGION_CD,CSB_REGION_DSC,AGEN_AGENCY_IDENTIFIER_CD,AGEN_AGENCY_NM,AGEN_ADDRESS_LINE_1_TXT,AGEN_ADDRESS_LINE_2_TXT,AGEN_POSTAL_CODE_TXT,CITY_LONG_NM
1,Vancouver Island,1031,Campbell River Law Courts,500 13th Ave.,,V9W6P1,Campbell River
1,Vancouver Island,1041,Courtenay Law Courts,420 Cumberland Road,,V9N 2C4,Courtenay
1,Vancouver Island,1051,Duncan Law Courts,238 Government Street,,V9L1A5,Duncan
1,Vancouver Island,1061,Ganges Provincial Court,343 Lower Ganges Road,,,Ganges
1,Vancouver Island,1071,Gold River Provincial Court,499 Muchalat Drive,,V0P1G0,Gold River
1,Vancouver Island,1091,Nanaimo Law Courts,35 Front Street,,V9R5J1,Nanaimo
1,Vancouver Island,1121,Port Alberni Law Courts,2999 4th Avenue,,V9Y8A5,Port Alberni
1,Vancouver Island,1141,Port Hardy Law Courts,"9300 Trustee Rd, Box 279",,V0N2P0,Port Hardy
1,Vancouver Island,1145,Powell River Law Courts,103 - 6953 Alberni Street,,V8A2B8,Powell River
1,Vancouver Island,1151,Sidney Provincial Court,9884 3rd Street,,V8L1W3,Sidney
1,Vancouver Island,1171,Tahsis Provincial Court,977 South Maquinna,,V0P1X0,Tahsis
1,Vancouver Island,1181,Tofino Provincial Court,351 Arnet Road,,V0R2Z0,Tofino
1,Vancouver Island,1191,Ucluelet Provincial Court,Room #100 - 500 Matterson Driv,,V0R3A0,Ucluelet
1,Vancouver Island,1201,Victoria Law Courts,850 Burdett Avenue,,V8W 9J2,Victoria
1,Vancouver Island,1211,Western Communities Provincial Court,1756 Island Highway,,V8W9J5,Colwood
1,Vancouver Island,CVCC,Cowichan Community Centre,2687 James Street,,,Duncan
1,Vancouver Island,UVIC,University of Victoria,Murray & Anne Fraser Bldg,"McGill Road at Ring Road",,Victoria
2,Vancouver Coastal,2007,Bella Bella Provincial Court,214 Wabalisla Street,Browns Restaurant,V0T 1Z0,Bella Bella
2,Vancouver Coastal,2008,Bella Coola Provincial Court,457 MacKenzie Street,272 Highway 20,V0T 1C0,Bella Coola
2,Vancouver Coastal,2009,Klemtu Provincial Court,House of Wolves,,,Klemtu
2,Vancouver Coastal,2011,North Vancouver Provincial Court,200 East 23 Street,,V7L4R4,North Vancouver
2,Vancouver Coastal,2021,Pemberton Provincial Court,1366 Aster Street,Box 421,V0N2L0,Pemberton
2,Vancouver Coastal,2031,Sechelt Provincial Court,"5480 Shorncliffe Ave,  Box 160",,V0N3A0,Sechelt
2,Vancouver Coastal,2040,Vancouver Provincial Court,222 Main Street,,V6A2S8,Vancouver
2,Vancouver Coastal,2041,Justice Centre (Judicial),301 - 4603 Kingsway,,V5H4M4,Burnaby
2,Vancouver Coastal,2042,Downtown Community Court,211 Gore Avenue,,V6A 2S8,Vancouver
2,Vancouver Coastal,2045,Robson Square Provincial Court,800 Hornby Street,,V6Z 2C5,Vancouver
2,Vancouver Coastal,2049,Violation Ticket Centre,PO Box 2164 STN Main,,V6B3V3,Vancouver
2,Vancouver Coastal,6011,Vancouver Law Courts,800 Smithe St.,,V6Z2E1,Vancouver
2,Vancouver Coastal,KSS,Kitsilano Secondary School,2706 Trafalgar Street,,,Vancouver
2,Vancouver Coastal,SSS,Sutherland Secondary School,1860 Sutherland Avenue,,,North Vancouver
3,Fraser,2025,Richmond Provincial Court,7577 Elmbridge Way,,V6X4J2,Richmond
3,Fraser,3521,Chilliwack Law Courts,46085 Yale Road,,V2P2L8,Chilliwack
3,Fraser,3531,Port Coquitlam Provincial Court,2620 Mary Hill Road,,V3C 3B2,Port Coquitlam
3,Fraser,3561,Abbotsford  Law Courts,32375 Veterans Way,,V2T0K1,Abbotsford
3,Fraser,3581,New Westminster Law Courts,651 Carnarvon Street,,V3M 1C9,New Westminster
3,Fraser,3585,Surrey Provincial Court,14340 57th Ave.,,V3X1B2,Surrey
3,Fraser,3588,Surrey First Nations Court,13629-108th Avenue,,V3X1B2,Surrey
3,Fraser,ACNW,Anvil Centre,Anvil Centre New Westminster,"777 Columbia Street",V3M 1B6,New Westminster
3,Fraser,CCC,Chilliwack Cultural Centre,9201 Corbould Street,,V2P4A6,Chilliwack
3,Fraser,EHC,Evergreen Hall,Evergreen Hall,"9291 Corbould Street",,Chilliwack
3,Fraser,ITQ,Inn at the Quay,900 Quayside Drive,,V3M6G1,New Westminster
3,Fraser,KPU,Kwantlen Polytechnic University,12666 - 72 Avenue,"Cedar Building",,Surrey
3,Fraser,RSS,Riverside Secondary School,2215 Reeve Street,,,Port Coquitlam
3,Fraser,UFV,University of Fraser Valley,Bldg K - 33780 King Road,,,Abbotsford
4,Interior,4671,Ashcroft Provincial Court,c/o 455 Columbia Street,,V2C6K4,Kamloops
4,Interior,4681,Castlegar Provincial Court,555 Columbia Avenue,,V1N1G8,Castlegar
4,Interior,4691,Chase Provincial Court,c/o 455 Columbia Street,,V2C6K4,Kamloops
4,Interior,4701,Clearwater Provincial Court,209 Dutch Lake Rd,,V0E1N2,Clearwater
4,Interior,4711,Cranbrook Law Courts,102 11th Avenue South,,V1C2P3,Cranbrook
4,Interior,4721,Creston Law Courts,224 10th Avenue North,,V0B1G0,Creston
4,Interior,4731,Fernie Law Courts,401 4th Avenue,Bag 1000,V0B1M0,Fernie
4,Interior,4741,Golden Law Courts,837 Park Drive,P O Box 1500,V0A1H0,Golden
4,Interior,4751,Grand Forks Law Courts,555 Central Avenue,,V0H1H0,Grand Forks
4,Interior,4771,Invermere Law Courts,645 - 7th Avenue,,V0A1K0,Invermere
4,Interior,4781,Kamloops Law Courts,455 Columbia Street,,V2C6K4,Kamloops
4,Interior,4801,Kelowna Law Courts,1355 Water Street,,V1Y9R3,Kelowna
4,Interior,4821,Lillooet Law Courts,615 Main Street,,V0K1V0,Lillooet
4,Interior,4851,Merritt Law Courts,3420 Voght Street,,V1K1C7,Merritt
4,Interior,4861,Nakusp Provincial Court,415 Broadway,Box 328,V0G1R0,Nakusp
4,Interior,4871,Nelson Law Courts,320 Ward Street,,V1L1S6,Nelson
4,Interior,4891,Penticton Law Courts,100 Main Street,,V2A5A5,Penticton
4,Interior,4899,Sheriffs Escort Centre,"200, Enterprise Way",,V0H1T2,Oliver
4,Interior,4901,Princeton Law Courts,151 Vermillion Avenue,Box 1210,V0X1W0,Princeton
4,Interior,4911,Revelstoke Law Courts,1123 2nd Street West,,V0E2S0,Revelstoke
4,Interior,4921,Rossland Law Courts,"2288 Columbia Ave., PO Box 639",,V0G1Y0,Rossland
4,Interior,4941,Salmon Arm Law Courts,550 - 2nd Avenue NE,"Box 100, Station Main",V1E4S4,Salmon Arm
4,Interior,4951,Sparwood Provincial Court,136 Spruce Avenue,,V0B1M0,Sparwood
4,Interior,4971,Vernon Law Courts,3001 27th Street,,V1T4W5,Vernon
4,Interior,CKH,Coast Kamloops Hotel and Conference Centre,1250 Rogers Way,,V1S1N5,Kamloops
4,Interior,KTRU,Kamloops Thompson River University,1055 University Drive,,V2C0C8,Kamloops
4,Interior,LEH,Lillooet Elks Hall,920 Moha Road,,V0K1V0,Lillooet
4,Interior,MCC,Merritt Civic Centre,1950 Mamette Avenue,,V1K1R6,Merritt
4,Interior,NCT,Nelson Capitol Theatre,421 Victoria Street,,V1L4P6,Nelson
4,Interior,NDSC,Nakusp and District Sports Complex,200 - 8th Avenue,,,Nakusp
5,North,5671,Alexis Creek Provincial Court,"Community Hall, Stum Lake Road",,V0L1A0,Alexis Creek
5,North,5681,Anahim Lake Provincial Court,"Courthouse, Highway 20",,V0L1C0,Anahim Lake
5,North,5691,Atlin Provincial Court,2nd Street,Box 100,V0W1A0,Atlin
5,North,5701,Burns Lake Provincial Court,508 Yellowhead Hwy,PO Box 251,V0J1E0,Burns Lake
5,North,5711,Good Hope Lake Provincial Court,Community Center,,V0C2Z0,Good Hope Lake
5,North,5721,Chetwynd Provincial Court,5021 49th Avenue,Bag 105,V0C1J0,Chetwynd
5,North,5731,Dawson Creek Law Courts,1201 103 Avenue,,V1G 4J2,Dawson Creek
5,North,5741,Dease Lake Provincial Court,#1 Commercial Drive,,V0C1L0,Dease Lake
5,North,5751,Fort Nelson Law Courts,5431 Airport Drive,Bag 1000,V0C 1R0,Fort Nelson
5,North,5761,Fort St James Provincial Court,2537 Stones Bay Road,,V0J 1P0,Fort St James
5,North,5771,Fort St John Law Courts,10600 100 Street,,V1J4L6,Fort St John
5,North,5775,Kwadacha Provincial Court,General Delivery,,V0J3B0,Fort Ware
5,North,5781,Fraser Lake Provincial Court,"2nd Floor, Recreation Centre",,V0J1S0,Fraser Lake
5,North,5791,Houston Provincial Court,3367 12th Street,,V0J1Z0,Houston
5,North,5801,Hudson's Hope Provincial Court,10600 100 Street,,V1J 4L6,Fort St John
5,North,5805,Tsay Keh Dene Provincial Court,General Delivery,,V0J2C0,Tsay Keh Dene
5,North,5811,Kitimat Law Courts,603 Mountainview Square,,V8C2N1,Kitimat
5,North,5821,Lower Post Provincial Court,Lower Post Band Office,,V0C1W0,Lower Post
5,North,5831,Mackenzie Provincial Court,64 Centennial Drive,Box 2050,V0J2C0,Mackenzie
5,North,5841,Masset Provincial Court,1666 Orr Street,Box 230,V0T1M0,Masset
5,North,5845,McBride Provincial Court,441 Columbia Street,,VOJ2E0,McBride
5,North,5851,New Aiyansh Provincial Court,5216 Morven Street,,,New Aiyansh
5,North,5861,Hazelton Provincial Court,2210 West Highway 62,,V0J1Y0,Hazelton
5,North,5871,100 Mile House Law Courts,170 Cedar Avenue South,Box 1060,V0K2E0,100 Mile House
5,North,5891,Prince George Law Courts,250 George Street,,V2L5S2,Prince George
5,North,5901,Prince Rupert Law Courts,100 Market Place,,V8J1B7,Prince Rupert
5,North,5911,Queen Charlotte Provincial Court,216 Oceanview Drive,,V0T1S0,Queen Charlotte BC
5,North,5921,Quesnel Law Courts,350 Barlow Ave.,,V2J2C2,Quesnel
5,North,5931,Smithers Law Courts,3793 Alfred Avenue,Bag 5000,V0J2N0,Smithers
5,North,5941,Stewart Provincial Court,703 Brightwell,,V0T1W0,Stewart
5,North,5951,Terrace Law Courts,3408 Kalum Street,,V8G2N6,Terrace
5,North,5955,Tumbler Ridge Provincial Court,340 Front St,Bag 105,V0C 2W0,Tumbler Ridge
5,North,5959,Valemount Provincial Court,1300 - 4th Avenue,PO Box 125,V0E2Z0,Valemount
5,North,5961,Vanderhoof Law Courts,2440 Bute Avenue,Box 1220,V0J3A0,Vanderhoof
5,North,5971,Williams Lake Law Courts,540 Borland Street,,V2G1R8,Williams Lake
5,North,KPAC,Kiwanis Performing Arts Centre (Dawson Creek),10401 10th Street,,V1G3T8,Dawson Creek
5,North,TSP,Terrace Sportsplex,3320 Kalum Street,,V8G2N6,Terrace
5,North,WLEH,Williams Lake Elks Hall,98 1st Avenue South,,V2G1H5,Williams Lake